1	cs	Define the terms Computer Science, programs, and programming.
1	cs	Explain abilities and limitations of programs.
1	cs	Recognize synonyms for programs.
1	programs	Recognize synonyms for program execution.
1	programs	Justify the use of Python compared to other language options.
1	console	Explain the steps of program execution.
1	console	Give examples of input and output for programs.
1	console	Write basic python code using print and input to interact with the user.
1	console	Explain how programs fundamentally work by transforming data.
1	values	Abstract information from the real world as values in the computer.
1	values	Define the term abstraction.
1	values	Write code to define and print literal values in Python.
1	values	Explain the limitations of data for providing context.
1	types	Differentiate between the different types in Python.
1	types	Create integer, float, string, boolean, and none values.
1	math	Define the terms operator and operand.
1	math	Evaluate math operations in Python using the seven numeric operators.
1	math	Recall the order that math operators are evaluated in Python.
1	math	Predict the result type of operations involving integer and float type operands.
1	logic	Write logical expressions that use comparison and Boolean operators.
1	logic	Evaluate comparison and Boolean operations.
1	logic	Nest mathematical, comparison, and Boolean operators in complex expressions.
1	logic	Debug incorrect Boolean operator expressions.
1	eval	Identify the parts and whole of an expression in Python.
1	eval	Evaluate an expression in Python using math, comparison, and logic operators.
1	eval	Explain the implications of the substitution model used by Python on the execution of expressions.
1	eval	Explain the purpose of the Print function in Python.
1	eval	Explain the purpose of the terminal to execute Python code interactively.
1	variables	Explain the purpose of variables in Python.
1	variables	Explain the relationship between variables and values.
1	variables	Write code to define, update, and use variables in Python.
1	variables	Contrast how variables work in Python compared to mathematics.
1	variables	List the rules for Python variable names.
1	variables	Decide whether a variable name is valid.
1	variables	Evaluate a variable for its correctness, conciseness, consistency, conventionality, and clarity.
1	variables	Explain the downside of bad variable names.
1	tracing	Explain how variables have a lifetime.
1	tracing	Trace the values of variables in a program.
1	tracing	Differentiate between assignment statements and equality comparisons.
1	tracing	Recognize equivalent terminology for common variable operations.
1	tracing	Determine whether a variable has been defined before it is used.
1	modules	Explain how programs are executed step by step.
1	modules	Differentiate between statements and expressions.
1	comments	Use comments to explain the behavior of code.
1	comments	Recognize synonymous names for the comment symbol in Python.
1	comments	Avoid using comments by choosing good variable names.
1	comments	Defend the depth, detail, and quantity of comments in a program.
1	comments	Use comments to temporarily remove code from a program.
1	comments	Trace code that incorporates comments.
1	import	Define the terms module, package, and library.
1	import	Write import statements to load variables from other modules.
1	import	Interpret two kinds of import statements’ syntax.
1	import	Create a new Python module.
1	import	Explain the purpose of the Python Standard Library.
1	strings	Define the concept of a string in Python.
1	strings	Define the concept of characters in Python.
1	strings	Use single, double, and triple quotes to create string literal values.
1	strings	Define the concept of escape characters in Python.
1	strings	Create strings that incorporate escape characters.
1	strings	Differentiate between number values and strings involving numeric characters.
1	strings	Differentiate between strings and variables.
1	strings	Explain the purpose of having single, double, and triple quote strings instead of just a single kind of string.
1	string_ops	List the operations that are allowed on strings in Python.
1	string_ops	Explain how the addition, comparison, membership, and subscripting operators work on strings in Python.
1	string_ops	Evaluate string operations involving addition, comparison, membership, and subscripting in Python.
1	string_ops	Differentiate between indexing and slicing strings.
1	string_ops	Choose appropriate indices to correctly index and slice strings.
1	string_ops	Interpret negative indices in subscripts.
1	errors	Define the term Error when it comes to coding.
1	errors	Interpret a Python error message including the traceback.
1	errors	List and describe common Python error types.
1	errors	Debug simple errors in Python code.
2	calling	Define and justify the use of functions.
2	calling	Define critical terminology of functions including arguments and return values.
2	calling	Write valid function calls with arguments.
2	calling	List synonyms for calling a function.
2	calling	Explain the importance of parentheses in writing function calls.
2	calling	Compare and contrast programs and functions.
2	calling	Write valid method calls on a value.
2	calling	Explain how functions can be called.
2	calling	Evaluate a function call to predict the returned value.
2	builtins	List several built-in functions that are available in Python.
2	builtins	Upon being given documentation for a built-in function, use that function.
2	builtins	Define and contrast the terms parameters and arguments in the context of existing functions.
2	builtins	Evaluate nested function and chained method calls.
2	builtins	Evaluate complex expressions that involve function and method calls.
2	builtins	Write code that involves `print` and `input` function calls.
2	builtins	Explain how `print` and `input` interact with the terminal.
2	builtins	Describe and use the four basic conversion functions (`int`, `str`, `float`, and `bool`).
2	defining	Define syntactically correct functions.
2	defining	Identify all the parts of a function including the header and body.
2	defining	Define the terms parameter, return, header, body, call, definition, and name.
2	defining	Write syntactically correct function calls for newly defined functions.
2	defining	Use a `pass` statement to create an empty function.
2	defining	Explain how arguments are assigned to parameters.
2	defining	Explain the behavior of calling a function in terms of control and data flow.
2	defining	Explain how a `return` statement interrupts control flow.
2	defining	Trace simple function calls to user-defined functions.
